∆∑∑¨,÷∆‘Ï∑¨∫≈,printdate
CA-DR03DDA,9998887776,2017-10-17 23:51
CA-DR03DDA,3334445556,2017-10-17 23:53
CA-DR03DDA,1233211230,2017-10-17 23:54
CA-DR03DDA,1233211230,2017-10-17 23:55
CA-DR03DDA,1233211230,2017-10-17 23:55
CA-DR03DDA,1233211230,2017-10-17 23:55
CA-DR03DDA,1234567890,2017-10-17 23:55
CA-DR03DDA,1234567890,2017-10-17 23:55
CA-DR03DDA,1234567890,2017-10-17 23:56
CA-DR03DDA,1234567890,2017-10-17 23:58
CA-DR02D,2223334445,2017-10-18 0:05
CA-DR02D,1234567890,2017-10-18 0:06
CA-DR03DDA,1234567890,2017-10-18 0:15
CA-DR03DDA,1234567890,2017-10-18 0:16
CA-DR03DDA,123456789,2017-10-18 0:17
CA-DR02DDA,999999999,2017-10-18 0:18
CA-DR03DDA,888888888,2017-10-18 0:29
CA-DR03DDA,888888888,2017-10-18 0:29
CA-DR03DDA,444333444,2017-10-18 0:30
CA-DR03DDA,111111111,2017-10-18 0:33
CA-DR03DDA,123333333,2017-10-18 0:34
CA-DR02D,666111222,2017-10-18 0:36
CA-DR02D,555666777,2017-10-18 0:37
CA-DR03DDA,aaa123456,2017-10-18 0:42
CA-DR03DDA,ssd123456,2017-10-18 0:43
CA-DR03DDA,122122122,2017-10-18 0:44
CA-DR02D,777777777,2017-10-18 0:45
CA-DR03DDA,888888888,2017-10-18 0:45
CA-DR02D,333111111,2017-10-18 0:49
CA-DR03DDA,123456789,2017-10-18 0:52
CA-DR03DDA,234567890,2017-10-18 12:14
CA-DR03DDA,123456789,2017-10-18 12:28
CA-DR03DDA,987654321,2017-10-18 12:29
CA-DR03DDA,876543210,2017-10-18 12:30
CA-DR03DDA,543211234,2017-10-18 12:31
CA-DR03DDA,666666666,2017-10-18 12:36
CA-DR03DDA,555666888,2017-10-18 12:36
CA-DR03DDA,111222333,2017-10-18 12:38
CA-DR03DDA,222111333,2017-10-18 12:40
CA-DR03DDA,500004H19,2017-11-3 22:20
CA-DR02DDA,500004H19,2017-11-3 22:48
CA-DR02DDA,500004H19,2017-11-3 22:55
CA-DR02D,500004H19,2017-11-3 22:58
CA-DR03DDA,500004H19,2017-11-3 22:59
CA-DR03DDA,500004H19,2017-11-3 23:00
CA-DR03DDA,500004H19,2017-11-3 23:00
CA-DR03DDA,500004H19,2017-11-3 23:00
CA-DR03DDA,500004H19,2017-11-03 23:05
CA-DR02DDA,500004H19,2017-11-03 23:15
